,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,xFe,yFe,xG
54,3,TSV,G,FCN,4,16,1,0,1:1,-1,9,Tor,AusDemSpiel,,,,,,,,,,,,,,-5.0,46.5,0.13693172811710425
55,3,TSV,G,FCN,5,19,1,0,,0,10,Vorbei,AusDemSpiel,,,,,,,,,,,,,,8.5,35.5,0.006784382960461706
56,3,FCN,H,TSV,6,20,1,0,,0,11,Save,AusDemSpiel,,,,,,,,,,,,,27.0,-0.5,40.0,0.4900219832705899
57,3,TSV,G,FCN,6,25,1,0,,0,12,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-11.5,40.0,0.15711498901201196
58,3,TSV,G,FCN,7,26,1,0,,0,13,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-3.5,48.5,0.7773670636592093
59,3,FCN,H,TSV,7,29,1,0,,0,14,Save,Freistoss,,,,,,,,,,,,,20.0,-13.5,32.5,0.06446173083564408
60,3,FCN,H,TSV,8,31,1,0,,0,15,Vorbei,AusDemSpiel,27.0,7.0,20.0,21.0,6.0,8.0,,,,,,,7.0,-13.0,41.0,0.3100087621006747
61,3,FCN,H,TSV,9,32,1,0,2:1,0,16,Tor,AusDemSpiel,8.0,7.0,6.0,,,,,,,,,,27.0,-10.0,49.5,0.11729103123478132
62,3,FCN,H,TSV,10,34,1,0,,1,17,Save,AusDemSpiel,,,,,,,,,,,,,9.0,7.5,46.5,0.1922917630270382
63,3,TSV,G,FCN,8,36,1,0,,-1,18,Save,AusDemSpiel,,,,,,,,,,,,,,-5.5,49.5,0.3514539138822702
64,3,TSV,G,FCN,9,40,1,0,,-1,19,Vorbei,AusDemSpiel,,,,,,,,,,,,,,4.5,44.5,0.057797486201141945
65,3,TSV,G,FCN,10,44,2,0,,-1,20,Vorbei,AusDemSpiel,,,,,,,,,,,,,,2.5,42.0,0.027898855945968342
66,3,FCN,H,TSV,11,45,2,0,3:1,1,21,Tor,AusDemSpiel,8.0,,,,,,,,,,,,9.0,1.5,39.5,0.39165281268385826
67,3,FCN,H,TSV,12,48,2,0,,2,22,Block,AusDemSpiel,8.0,21.0,20.0,,,,,,,,,,27.0,-13.0,38.5,0.07352013169544448
68,3,TSV,G,FCN,11,52,2,0,,-2,23,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-17.0,47.5,0.05106399271038095
69,3,FCN,H,TSV,13,56,2,1,,2,24,Save,Freistoss,,,,,,,,,,,,,9.0,9.0,35.5,0.13361753287214997
70,3,FCN,H,TSV,14,57,2,1,4:1,2,25,Tor,AusDemSpiel,13.0,20.0,6.0,16.0,10.0,23.0,,,,,,,10.0,-3.0,45.5,0.9484009481680491
